Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
124,Otto Porter Jr.,SF,24,WAS,77,2432,18.3,.602,.354,.145,4.8,18.1,11.4,10.1,2.4,1.5,7.4,18.4,,5.0,3.1,8.1,.161,,2.6,1.0,3.5,3.4,porteot01
125,Nicolas Batum,SG,29,CHO,64,1981,14.4,.523,.422,.200,3.1,13.8,8.4,26.2,1.6,1.0,15.6,18.3,,1.7,1.8,3.5,.084,,0.5,-0.1,0.4,1.2,batumni01
126,Justin Holiday,SG,28,CHI,72,2265,10.8,.513,.574,.210,1.4,12.8,6.9,10.1,1.7,1.2,9.8,18.2,,0.1,1.6,1.7,.036,,-1.6,-0.3,-1.9,0.0,holidju01
127,Josh Richardson,SF,24,MIA,81,2689,13.6,.551,.380,.160,2.9,9.0,6.0,13.2,2.3,2.4,12.9,18.2,,1.8,3.5,5.4,.096,,-0.6,1.3,0.7,1.8,richajo01
128,Marquese Chriss,PF,20,PHO,72,1527,11.1,.509,.398,.331,5.2,22.7,13.8,8.1,1.6,3.7,16.4,18.1,,-0.8,1.5,0.7,.023,,-3.2,0.4,-2.8,-0.3,chrisma01
129,John Collins,PF,20,ATL,74,1785,18.3,.620,.086,.341,11.0,22.8,16.9,8.9,1.3,3.8,14.3,17.9,,3.4,2.0,5.4,.145,,-0.4,0.2,-0.2,0.8,collijo01
130,JaMychal Green,PF,27,MEM,55,1542,14.0,.530,.260,.227,10.8,24.4,17.4,8.3,1.0,1.5,12.4,17.8,,1.3,1.3,2.6,.079,,-0.8,-1.5,-2.3,-0.1,greenja01
131,Patty Mills,PG,29,SAS,82,2107,11.8,.558,.607,.173,1.4,6.8,4.1,16.0,1.3,0.4,12.6,17.8,,2.0,2.1,4.1,.093,,-0.6,-0.4,-1.0,0.5,millspa02
132,Wesley Matthews,SF,31,DAL,63,2131,11.4,.541,.577,.145,1.4,9.2,5.2,12.3,1.8,0.7,10.1,17.6,,1.0,1.6,2.6,.059,,-1.0,0.1,-0.9,0.6,matthwe02
133,Denzel Valentine,SG,24,CHI,77,2095,12.1,.527,.513,.071,2.4,18.3,10.1,17.8,1.5,0.5,11.8,17.5,,1.0,1.5,2.5,.057,,-1.0,0.0,-1.0,0.5,valende01
134,Lonzo Ball,PG,20,LAL,52,1780,12.5,.444,.523,.126,4.2,17.3,10.8,29.2,2.4,2.0,18.6,17.4,,-0.5,2.5,2.0,.053,,-0.7,1.6,1.0,1.3,balllo01
135,Darren Collison,PG,30,IND,69,2018,18.8,.610,.321,.226,2.1,7.8,5.0,26.4,2.3,0.7,10.9,17.4,,5.8,1.8,7.6,.181,,2.4,0.3,2.7,2.4,collida01
136,Jerian Grant,PG,25,CHI,74,1686,14.3,.528,.372,.374,1.9,9.3,5.5,30.1,1.8,0.4,13.2,17.4,,2.3,1.0,3.3,.094,,-0.9,-0.5,-1.3,0.3,grantje02
137,Jae Crowder,SF,27,TOT,80,2090,10.4,.525,.508,.221,3.2,11.5,7.4,6.9,1.5,0.9,9.1,17.3,,1.0,1.6,2.6,.060,,-1.9,-0.6,-2.5,-0.3,crowdja01
138,Wayne Ellington,SG,30,MIA,77,2041,12.5,.588,.827,.111,1.3,10.7,6.0,5.9,1.3,0.3,6.6,17.3,,2.6,1.9,4.5,.105,,1.0,-0.6,0.4,1.2,ellinwa01
139,Thaddeus Young,PF,29,IND,81,2607,14.8,.528,.209,.106,8.0,14.1,11.1,8.5,2.6,1.2,10.4,17.3,,2.3,3.2,5.5,.101,,-0.2,0.4,0.2,1.4,youngth01
140,Robert Covington,SF,27,PHI,80,2532,12.9,.563,.658,.163,2.4,15.5,9.2,8.7,2.6,2.4,12.3,17.2,,1.6,4.5,6.1,.116,,-0.2,1.7,1.5,2.3,covinro01
141,Troy Daniels,SG,26,PHO,79,1622,9.8,.583,.797,.111,0.8,7.7,4.2,4.5,0.8,0.2,8.5,17.2,,1.4,0.0,1.4,.042,,-0.5,-2.1,-2.6,-0.3,danietr01
142,Draymond Green,PF,27,GSW,70,2287,16.1,.556,.414,.279,3.9,21.1,13.1,29.0,2.0,3.1,22.5,17.2,,2.6,3.4,6.1,.127,,0.9,1.9,2.8,2.8,greendr01
143,Jarell Martin,PF,23,MEM,73,1661,10.5,.516,.198,.234,6.6,15.8,11.1,7.0,1.2,2.8,13.6,17.1,,0.1,1.2,1.3,.038,,-3.3,-0.7,-4.0,-0.8,martija01
144,Dewayne Dedmon,C,28,ATL,62,1542,15.8,.599,.296,.180,7.2,28.1,17.7,9.2,1.3,2.8,14.3,17.0,,1.8,1.9,3.7,.114,,-0.4,0.5,0.1,0.8,dedmode01
145,Yogi Ferrell,SG,24,DAL,82,2282,11.4,.540,.492,.141,1.2,11.2,6.1,13.5,1.4,0.4,9.1,17.0,,1.5,1.5,3.0,.064,,-1.3,0.0,-1.4,0.4,ferreyo01
146,Kentavious Caldwell-Pope,SG,24,LAL,74,2458,13.2,.561,.520,.243,2.6,14.1,8.4,9.4,2.1,0.5,9.9,16.9,,2.6,2.7,5.3,.103,,-0.4,0.6,0.3,1.4,caldwke01
147,Rudy Gobert,C,25,UTA,56,1816,20.7,.657,.000,.673,10.4,27.0,18.8,6.9,1.2,6.0,15.7,16.9,,4.2,3.9,8.1,.214,,0.9,2.5,3.4,2.5,goberru01
148,Courtney Lee,SG,32,NYK,76,2310,13.0,.564,.368,.164,1.4,9.3,5.4,11.3,1.7,0.6,9.4,16.9,,2.7,1.2,3.9,.082,,-0.1,-0.2,-0.3,1.0,leeco01
149,Frank Ntilikina,PG,19,NYK,78,1706,7.0,.437,.314,.136,2.4,9.1,5.8,20.0,1.9,0.9,19.8,16.9,,-2.0,1.1,-0.9,-0.026,,-4.5,-0.5,-5.0,-1.3,ntilila01
150,Rajon Rondo,PG,31,NOP,65,1705,15.3,.522,.304,.093,2.0,14.2,8.4,42.2,2.0,0.5,22.7,16.9,,1.9,1.7,3.6,.101,,0.0,-0.4,-0.3,0.7,rondora01
151,Steven Adams,C,24,OKC,76,2487,20.6,.630,.003,.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,,6.7,3.0,9.7,.187,,1.7,-0.6,1.1,2.0,adamsst01
152,Bryn Forbes,SG,24,SAS,80,1517,9.1,.525,.459,.145,0.9,7.2,4.0,7.8,0.9,0.1,6.5,16.7,,0.8,1.3,2.1,.067,,-2.5,-0.6,-3.1,-0.4,forbebr01
153,Jarrett Jack,PG,34,NYK,62,1548,11.5,.489,.194,.169,1.6,12.1,6.8,31.3,1.1,0.2,19.5,16.7,,0.5,0.7,1.2,.036,,-1.6,-1.3,-2.8,-0.3,jackja01
154,Danny Green,SG,30,SAS,70,1791,11.4,.509,.570,.116,2.5,13.0,7.7,8.9,1.8,3.7,11.2,16.6,,0.1,2.9,2.9,.078,,-1.0,1.4,0.4,1.1,greenda02
155,Joe Harris,SG,26,BRK,78,1975,13.3,.634,.576,.167,2.7,11.3,7.0,10.2,0.9,0.8,12.0,16.6,,3.0,0.9,4.0,.097,,0.7,-0.6,0.1,1.0,harrijo01
156,Stanley Johnson,SF,21,DET,69,1894,9.0,.480,.418,.259,1.9,13.0,7.3,8.5,2.5,0.7,11.0,16.4,,-0.6,2.4,1.8,.046,,-4.0,1.1,-2.9,-0.4,johnsst04
157,Garrett Temple,SG,31,SAC,65,1615,10.2,.536,.477,.164,1.5,9.6,5.4,11.3,1.8,1.6,13.4,16.4,,0.3,0.9,1.2,.035,,-2.2,-0.3,-2.5,-0.2,templga01
158,George Hill,PG,31,TOT,67,1812,13.3,.580,.400,.273,2.6,8.9,5.7,15.0,1.7,1.3,13.3,16.3,,2.3,0.9,3.2,.085,,-0.2,-0.5,-0.8,0.6,hillge01
159,Justise Winslow,PF,21,MIA,68,1680,11.5,.496,.264,.213,4.3,20.5,12.4,13.0,1.6,1.7,12.6,16.3,,0.2,2.4,2.6,.075,,-2.2,1.1,-1.1,0.4,winslju01
160,Michael Kidd-Gilchrist,SF,24,CHO,74,1850,12.5,.536,.004,.305,4.8,13.0,8.8,5.9,1.3,1.4,7.7,16.1,,1.7,1.6,3.3,.084,,-2.1,0.0,-2.1,-0.1,kiddgmi01
161,E'Twaun Moore,SG,28,NOP,82,2586,12.1,.593,.362,.082,2.5,7.3,5.0,10.1,1.5,0.4,10.6,16.1,,2.8,1.6,4.4,.081,,-1.0,-0.5,-1.6,0.3,mooreet01
162,Jerami Grant,PF,23,OKC,81,1647,16.2,.607,.241,.526,5.6,16.3,10.7,5.1,0.9,4.2,8.8,16.0,,3.5,1.9,5.4,.156,,0.0,0.3,0.3,1.0,grantje01
163,Kyle Korver,SG,36,CLE,73,1574,13.4,.652,.777,.149,0.7,10.9,5.9,8.0,1.0,1.5,9.6,16.0,,2.8,0.6,3.4,.104,,1.5,-1.2,0.2,0.9,korveky01
164,Joe Ingles,SF,30,UTA,82,2578,14.4,.623,.646,.116,1.1,13.9,7.6,22.9,1.8,0.7,17.4,15.9,,4.0,3.6,7.6,.141,,1.0,1.3,2.3,2.8,inglejo01
165,Reggie Bullock,SF,26,DET,62,1732,13.6,.615,.515,.090,1.7,8.3,4.9,8.4,1.4,0.7,7.6,15.7,,2.8,1.4,4.2,.117,,0.7,0.0,0.7,1.2,bullore01
166,Pascal Siakam,PF,23,TOR,81,1679,14.5,.549,.265,.175,5.4,18.6,12.1,13.5,1.8,2.0,11.1,15.7,,2.1,2.5,4.7,.133,,-0.3,1.6,1.3,1.4,siakapa01
167,David Nwaba,SG,25,CHI,70,1646,12.2,.542,.123,.480,5.6,16.0,10.6,9.4,1.7,1.6,13.1,15.6,,1.1,1.4,2.4,.071,,-2.7,0.2,-2.5,-0.2,nwabada01
168,Evan Turner,SF,29,POR,79,2034,9.9,.520,.229,.185,1.6,11.4,6.5,12.4,1.1,1.2,13.7,15.6,,0.5,2.1,2.6,.061,,-2.9,0.4,-2.5,-0.3,turneev01
169,Marcin Gortat,C,33,WAS,82,2075,14.7,.546,.000,.291,9.9,24.0,17.0,10.6,1.0,2.6,13.5,15.5,,2.4,2.4,4.9,.113,,-0.8,0.3,-0.6,0.8,gortama01
170,Dwight Powell,C,26,DAL,79,1672,18.8,.656,.195,.430,8.7,21.3,14.7,8.5,2.0,1.7,10.3,15.5,,4.6,2.1,6.6,.191,,0.6,1.0,1.6,1.5,poweldw01
171,DeAndre Jordan,C,29,LAC,77,2424,20.2,.648,.000,.540,15.1,37.6,26.5,7.1,0.8,2.4,16.1,15.2,,6.0,3.4,9.4,.186,,1.7,-0.3,1.4,2.1,jordade01
172,John Henson,C,27,MIL,76,1970,15.7,.582,.014,.315,9.0,21.5,15.3,8.6,1.1,4.7,12.8,15.0,,2.8,2.2,4.9,.120,,-1.0,0.1,-0.9,0.5,hensojo01
173,Doug McDermott,SF,26,TOT,81,1768,10.4,.579,.425,.159,2.5,10.2,6.3,6.5,0.5,0.8,9.3,15.0,,1.7,0.6,2.3,.063,,-1.0,-1.3,-2.2,-0.1,mcderdo01
174,Al-Farouq Aminu,PF,27,POR,69,2072,12.0,.522,.582,.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,,0.9,3.2,4.2,.097,,-0.7,1.1,0.4,1.3,aminual01
175,Cory Joseph,PG,26,IND,82,2210,11.0,.503,.315,.156,2.0,11.4,6.7,16.1,1.8,0.7,11.9,14.8,,1.2,2.0,3.1,.068,,-1.8,0.3,-1.5,0.3,josepco01
176,Jakob Poeltl,C,22,TOR,82,1524,17.5,.662,.005,.263,12.4,16.4,14.4,5.4,1.3,5.2,16.6,14.8,,3.1,2.4,5.6,.175,,-0.7,1.1,0.4,0.9,poeltja01
177,Anthony Tolliver,PF,32,DET,79,1757,13.9,.663,.773,.282,3.1,12.3,7.6,7.5,0.9,1.1,9.9,14.8,,3.8,1.5,5.3,.146,,1.2,-0.3,0.9,1.3,tollian01
178,Marvin Williams,PF,31,CHO,78,2006,13.9,.603,.542,.218,3.9,16.2,10.0,7.0,1.4,1.6,9.7,14.8,,3.1,1.9,5.0,.119,,0.6,0.3,1.0,1.5,willima02
179,Taj Gibson,PF,32,MIN,82,2726,15.4,.610,.047,.251,8.1,16.7,12.4,5.2,1.1,1.9,9.8,14.7,,5.4,1.7,7.2,.126,,0.1,-0.7,-0.5,1.0,gibsota01
180,Ryan Anderson,PF,29,HOU,66,1725,12.6,.592,.706,.194,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,,3.1,1.7,4.8,.132,,0.9,-0.8,0.1,0.9,anderry01
181,Trevor Ariza,SF,32,HOU,67,2269,11.8,.567,.710,.137,1.7,12.9,7.3,6.8,2.1,0.5,7.0,14.4,,2.6,2.8,5.3,.113,,0.0,0.7,0.7,1.5,arizatr01
182,Wilson Chandler,SF,30,DEN,74,2346,10.9,.542,.390,.181,4.9,14.1,9.6,9.4,0.9,1.4,11.9,14.3,,2.1,1.2,3.3,.067,,-1.0,-1.1,-2.1,-0.1,chandwi01
183,Justin Jackson,SF,22,SAC,68,1506,9.2,.521,.442,.086,2.0,12.6,7.1,7.2,0.9,0.8,8.4,14.2,,0.4,0.5,1.0,.031,,-2.4,-1.1,-3.5,-0.6,jacksju01
184,T.J. McConnell,PG,25,PHI,76,1706,12.5,.545,.147,.093,2.4,11.5,7.1,24.5,2.6,0.6,20.4,13.8,,1.3,2.5,3.8,.108,,-1.9,1.9,0.0,0.9,mccontj01
185,J.R. Smith,SG,32,CLE,80,2244,8.4,.534,.640,.094,1.5,10.1,5.9,8.6,1.5,0.4,11.6,13.8,,0.6,0.9,1.4,.031,,-2.1,-0.9,-3.0,-0.6,smithjr01
186,James Ennis III,SF,27,TOT,72,1604,11.6,.588,.398,.302,5.1,11.0,8.0,6.6,1.5,1.0,11.4,13.7,,2.0,1.1,3.1,.092,,-1.1,-0.1,-1.2,0.3,ennisja01
187,Tomáš Satoranský,SG,26,WAS,73,1643,15.4,.615,.263,.250,5.0,11.1,8.0,24.8,1.6,0.8,16.3,13.7,,3.7,1.3,5.0,.145,,0.8,0.5,1.2,1.3,satorto01
188,Kyle Anderson,SF,24,SAS,74,1978,15.9,.582,.130,.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,,2.4,3.8,6.2,.151,,-0.4,3.3,2.9,2.4,anderky01
189,Luc Mbah a Moute,PF,31,HOU,61,1564,10.3,.595,.501,.275,1.6,11.7,6.7,5.0,2.3,1.4,15.0,12.8,,0.8,2.1,2.8,.087,,-1.6,1.4,-0.2,0.7,mbahalu01
190,Darius Miller,SF,27,NOP,82,1944,9.3,.617,.735,.138,1.0,7.9,4.6,7.5,0.7,0.7,10.1,12.8,,2.1,0.9,3.0,.075,,-1.1,-0.8,-1.9,0.1,milleda01
191,Dragan Bender,PF,20,PHO,82,2069,7.1,.524,.665,.105,2.0,16.8,9.3,8.9,0.5,2.1,18.1,12.7,,-0.7,0.8,0.1,.001,,-2.9,-0.8,-3.7,-0.9,bendedr01
192,Dante Cunningham,SF,30,TOT,73,1562,10.0,.539,.462,.143,5.5,14.9,10.3,4.3,1.2,1.5,7.9,11.6,,1.1,1.3,2.4,.074,,-1.5,-0.2,-1.7,0.1,cunnida01
193,Andre Iguodala,SF,34,GSW,64,1622,11.2,.536,.366,.272,3.7,12.6,8.5,16.2,1.6,1.9,15.8,11.5,,1.6,1.6,3.2,.094,,-1.1,0.8,-0.3,0.7,iguodan01
194,Tony Snell,SG,26,MIL,75,2053,8.5,.578,.631,.113,0.5,7.5,4.0,6.5,1.1,1.2,7.5,10.6,,1.6,0.7,2.4,.056,,-1.5,-0.8,-2.3,-0.1,snellto01
195,P.J. Tucker,PF,32,HOU,82,2281,8.3,.537,.703,.136,4.6,17.8,11.3,4.6,1.7,1.0,13.7,10.5,,1.0,3.0,3.9,.082,,-1.9,0.8,-1.1,0.5,tuckepj01
